id,sourceTableFile,sourceRowNumberApprox,sectionCode,sectionTitle,itemCode,workElementDescription,unit,manHoursPerUnit
06-11-10.40-0148-pneumatic-nailed-bf,fileoutpart154.xlsx,22,06 11 10.40,Wall Framing,0148,Pneumatic nailed,BF,0.0166
06-11-10.40-0150-studs-12-foot-high-wall-untreated-2-by-4-inches-bf,fileoutpart154.xlsx,23,06 11 10.40,Wall Framing,0150,"Studs, 12-foot-high wall, untreated, 2 by 4 inches",BF,0.0219
06-11-10.40-0160-pneumatic-nailed-bf,fileoutpart154.xlsx,24,06 11 10.40,Wall Framing,0160,Pneumatic nailed,BF,0.018
06-11-10.40-0170-studs-12-foot-high-wall-untreated-2-by-6-inches-bf,fileoutpart154.xlsx,25,06 11 10.40,Wall Framing,0170,"Studs, 12-foot-high wall, untreated, 2 by 6 inches",BF,0.02
06-11-10.40-0180-pneumatic-nailed-bf,fileoutpart154.xlsx,26,06 11 10.40,Wall Framing,0180,Pneumatic nailed,BF,0.0162
06-11-10.40-0190-studs-6-foot-high-wall-untreated-2-by-4-inches-bf,fileoutpart154.xlsx,27,06 11 10.40,Wall Framing,0190,"Studs, 6-foot-high wall, untreated, 2 by 4 inches",BF,0.0276
06-11-10.40-0200-pneumatic-nailed-bf,fileoutpart154.xlsx,28,06 11 10.40,Wall Framing,0200,Pneumatic nailed,BF,0.0228
06-11-10.40-0210-studs-6-foot-high-wall-untreated-2-by-6-inches-bf,fileoutpart154.xlsx,29,06 11 10.40,Wall Framing,0210,"Studs, 6-foot-high wall, untreated, 2 by 6 inches",BF,0.0252
06-11-10.40-0220-pneumatic-nailed-bf,fileoutpart154.xlsx,30,06 11 10.40,Wall Framing,0220,Pneumatic nailed,BF,0.0204
06-11-10.42-0010-on-wood-or-masonry-lf,fileoutpart156.xlsx,5,06 11 10.42,"Wood strips, on walls, 1 by 2 inches or 1 by 3 inches",0010,on wood or masonry,LF,0.021
06-11-10.42-0020-on-wood-pneumatic-nailed-lf,fileoutpart156.xlsx,6,06 11 10.42,"Wood strips, on walls, 1 by 2 inches or 1 by 3 inches",0020,"on wood, pneumatic nailed",LF,0.015
06-11-10.42-0030-on-concrete-lf,fileoutpart156.xlsx,7,06 11 10.42,"Wood strips, on walls, 1 by 2 inches or 1 by 3 inches",0030,on concrete,LF,0.043
06-11-10.42-0040-on-wood-or-masonry-lf,fileoutpart156.xlsx,9,06 11 10.42,On ceilings,0040,on wood or masonry,LF,0.033
06-11-10.42-0050-on-wood-pneumatic-nailed-lf,fileoutpart156.xlsx,10,06 11 10.42,On ceilings,0050,"on wood, pneumatic nailed",LF,0.024
06-11-10.42-0060-on-concrete-lf,fileoutpart156.xlsx,11,06 11 10.42,On ceilings,0060,on concrete,LF,0.05
06-25-16.10-0010-average-sf,fileoutpart156.xlsx,15,06 25 16.10,"Plywood, prefinished, 1/4 inch thick, 4- by 8-foot sheets",0010,average,SF,0.05
06-25-16.10-0020-maximum-sf,fileoutpart156.xlsx,16,06 25 16.10,"Plywood, prefinished, 1/4 inch thick, 4- by 8-foot sheets",0020,maximum,SF,0.061
06-25-16.10-0030-minimum-sf,fileoutpart156.xlsx,18,06 25 16.10,"Plywood, prefinished, 3/4 inch thick, 4- by 8-foot sheets",0030,minimum,SF,0.066
06-25-16.10-0040-maximum-sf,fileoutpart156.xlsx,19,06 25 16.10,"Plywood, prefinished, 3/4 inch thick, 4- by 8-foot sheets",0040,maximum,SF,0.094
06-13-23.10-0010-beams-single-6-by-10-inches-bf,fileoutpart158.xlsx,4,06 13 23.10,Heavy Framing,0010,"Beams, single 6 by 10 inches",BF,0.02
06-13-23.10-0020-single-8-by-16-inches-bf,fileoutpart158.xlsx,5,06 13 23.10,Heavy Framing,0020,single 8 by 16 inches,BF,0.017
06-13-23.10-0030-columns-structural-grade-4-by-4-inches-bf,fileoutpart158.xlsx,6,06 13 23.10,Heavy Framing,0030,"Columns, structural grade, 4 by 4 inches",BF,0.036
06-13-23.10-0040-6-by-6-inches-bf,fileoutpart158.xlsx,7,06 13 23.10,Heavy Framing,0040,6 by 6 inches,BF,0.033
06-13-23.10-0450-8-by-8-inches-bf,fileoutpart158.xlsx,8,06 13 23.10,Heavy Framing,0450,8 by 8 inches,BF,0.0167
06-13-23.10-0050-floor-planks-2-by-6-inches-bf,fileoutpart158.xlsx,9,06 13 23.10,Heavy Framing,0050,"Floor planks, 2 by 6 inches",BF,0.02
06-13-23.10-0060-2-by-10-inches-bf,fileoutpart158.xlsx,10,06 13 23.10,Heavy Framing,0060,2 by 10 inches,BF,0.019
06-13-23.10-0070-3-by-6-inches-bf,fileoutpart158.xlsx,11,06 13 23.10,Heavy Framing,0070,3 by 6 inches,BF,0.02
06-13-23.10-0080-3-by-10-inches-bf,fileoutpart158.xlsx,12,06 13 23.10,Heavy Framing,0080,3 by 10 inches,BF,0.019
06-13-23.10-0090-girders-structural-grade-12-by-12-inches-bf,fileoutpart158.xlsx,13,06 13 23.10,Heavy Framing,0090,"Girders, structural grade, 12 by 12 inches",BF,0.027
06-13-23.10-0100-10-by-16-inches-bf,fileoutpart158.xlsx,14,06 13 23.10,Heavy Framing,0100,10 by 16 inches,BF,0.021
06-13-23.10-0110-roof-purlins-4-inches-thick-structural-grade-bf,fileoutpart158.xlsx,15,06 13 23.10,Heavy Framing,0110,"Roof purlins, 4 inches thick, structural grade",BF,0.02
06-13-23.10-0120-roof-trusses-bf,fileoutpart158.xlsx,16,06 13 23.10,Heavy Framing,0120,Roof trusses,BF,0.048
06-16-23.10-0010-plywood-1-2-inch-thick-sf,fileoutpart160.xlsx,4,06 16 23.10,Subfloor,0010,"Plywood, 1/2 inch thick",SF,0.015
06-16-23.10-0020-pneumatic-nailed-sf,fileoutpart160.xlsx,5,06 16 23.10,Subfloor,0020,pneumatic nailed,SF,0.012
06-16-23.10-0030-plywood-5-8-inch-thick-sf,fileoutpart160.xlsx,6,06 16 23.10,Subfloor,0030,"Plywood, 5/8 inch thick",SF,0.016
06-16-23.10-0040-pneumatic-nailed-sf,fileoutpart160.xlsx,7,06 16 23.10,Subfloor,0040,pneumatic nailed,SF,0.013
06-16-23.10-0050-plywood-3-4-inch-thick-sf,fileoutpart160.xlsx,8,06 16 23.10,Subfloor,0050,"Plywood, 3/4 inch thick",SF,0.017
06-16-23.10-0060-pneumatic-nailed-sf,fileoutpart160.xlsx,9,06 16 23.10,Subfloor,0060,pneumatic nailed,SF,0.013
06-16-23.10-with-boards-1-inch-by-6-to-10-inches-laid-regular-or-diagonal-average-sf,fileoutpart160.xlsx,10,06 16 23.10,Subfloor,,"With boards, 1 inch by 6 to 10 inches laid regular or diagonal, average",SF,0.023
06-16-23.10-subfloor-adhesive-3-8-inch-bead-lf,fileoutpart160.xlsx,11,06 16 23.10,Subfloor,,"Subfloor adhesive, 3/8-inch bead",LF,0.004
06-16-26.10-0010-plywood-and-particle-board-underlayment-average-from-3-8-to-3-4-inch-thick-sf,fileoutpart160.xlsx,13,06 16 26.10,Underlayment,0010,"Plywood and particle board underlayment, average from 3/8 to 3/4 inch thick",SF,0.015
06-16-26.10-0020-pneumatic-nailed-sf,fileoutpart160.xlsx,14,06 16 26.10,Underlayment,0020,pneumatic nailed,SF,0.012
06-16-36.10-0010-plywood-average-from-5-16-to-3-4-inch-thick-sf,fileoutpart160.xlsx,18,06 16 36.10,"Roofs,",0010,"Plywood, average from 5/16 to 3/4 inch thick",SF,0.017
06-16-36.10-0020-pneumatic-nailed-sf,fileoutpart160.xlsx,19,06 16 36.10,"Roofs,",0020,pneumatic nailed,SF,0.015
06-16-36.10-0030-with-boards-1-by-6-inches-laid-horizontal-sf,fileoutpart160.xlsx,20,06 16 36.10,"Roofs,",0030,"with boards, 1 by 6 inches laid horizontal",SF,0.031
06-16-36.10-0040-laid-diagonal-sf,fileoutpart160.xlsx,21,06 16 36.10,"Roofs,",0040,laid diagonal,SF,0.033
06-16-36.10-0050-1-by-8-inches-laid-horizontal-sf,fileoutpart160.xlsx,22,06 16 36.10,"Roofs,",0050,1 by 8 inches laid horizontal,SF,0.024
06-16-36.10-0060-laid-diagonal-sf,fileoutpart160.xlsx,23,06 16 36.10,"Roofs,",0060,laid diagonal,SF,0.031
06-16-36.10-0070-plywood-and-oriented-strand-board-average-from-3-8-to-3-4-inch-thick-sf,fileoutpart160.xlsx,27,06 16 36.10,"Walls,",0070,"Plywood and oriented strand board, average from 3/8 to 3/4 inch thick",SF,0.021
06-16-36.10-0080-pneumatic-nailed-sf,fileoutpart160.xlsx,28,06 16 36.10,"Walls,",0080,pneumatic nailed,SF,0.017
06-16-36.10-0090-with-boards-1-by-6-inches-laid-sf,fileoutpart160.xlsx,29,06 16 36.10,"Walls,",0090,"with boards, 1 by 6 inches laid",SF,0.036
06-16-36.10-0100-horizontal-laid-diagonal-sf,fileoutpart160.xlsx,30,06 16 36.10,"Walls,",0100,horizontal laid diagonal,SF,0.033
06-16-36.10-0110-by-8-inches-laid-horizontal-sf,fileoutpart160.xlsx,31,06 16 36.10,"Walls,",0110,by 8 inches laid horizontal,SF,0.027
06-16-36.10-0120-laid-diagonal-sf,fileoutpart160.xlsx,32,06 16 36.10,"Walls,",0120,laid diagonal,SF,0.033
06-16-36.10-0130-other-miscellaneous-materiel-sf,fileoutpart160.xlsx,33,06 16 36.10,"Walls,",0130,Other miscellaneous materiel,SF,0.017
06-22-13.40-0010-cornice-boards-1-by-2-inches-lf,fileoutpart162.xlsx,4,06 22 13.40,"Moldings, Exterior",0010,"Cornice, boards, 1 by 2 inches",LF,0.031
06-22-13.40-0020-1-by-6-inches-lf,fileoutpart162.xlsx,5,06 22 13.40,"Moldings, Exterior",0020,1 by 6 inches,LF,0.043
06-22-13.40-0030-1-by-12-inches-lf,fileoutpart162.xlsx,6,06 22 13.40,"Moldings, Exterior",0030,1 by 12 inches,LF,0.059
06-22-13.40-0040-corner-board-1-by-4-inches-and-1-by-6-inches-lf,fileoutpart162.xlsx,7,06 22 13.40,"Moldings, Exterior",0040,"Corner board, 1 by 4 inches and 1 by 6 inches",LF,0.053
06-22-13.40-0050-fascia-1-by-6-inches-lf,fileoutpart162.xlsx,8,06 22 13.40,"Moldings, Exterior",0050,"Fascia, 1 by 6 inches",LF,0.043
06-22-13.40-0060-1-by-8-inches-lf,fileoutpart162.xlsx,9,06 22 13.40,"Moldings, Exterior",0060,1 by 8 inches,LF,0.048
06-22-13.40-and-casing-crown-11-16-by-4-1-4-inches-lf,fileoutpart162.xlsx,11,06 22 13.40,"Moldings, Exterior",,"and casing, crown, 11/16 by 4 1/4 inches",LF,0.043
06-22-13.40-0080-verge-board-1-by-4-inches-and-1-by-6-inches-lf,fileoutpart162.xlsx,12,06 22 13.40,"Moldings, Exterior",0080,"Verge board, 1 by 4 inches and 1 by 6 inches",LF,0.053
06-22-13.40-0090-1-by-8-inches-and-1-by-10-inches-lf,fileoutpart162.xlsx,13,06 22 13.40,"Moldings, Exterior",0090,1 by 8 inches and 1 by 10 inches,LF,0.064
06-22-13.45-0010-average-for-astragal-chair-rail-half-round-lattice-quarter-round-lf,fileoutpart162.xlsx,16,06 22 13.45,"Moldings, Trim",0010,"Average for astragal, chair rail, half round, lattice, quarter round",LF,0.043
06-22-13.45-0020-wainscot-moldings-1-1-8-by-9-16-inches-2-feet-high-minimum-sf,fileoutpart162.xlsx,17,06 22 13.45,"Moldings, Trim",0020,"Wainscot moldings, 1 1/8 by 9/16 inches, 2 feet high, minimum",SF,0.14
06-22-13.45-0030-maximum-sf,fileoutpart162.xlsx,18,06 22 13.45,"Moldings, Trim",0030,maximum,SF,0.164
06-22-13.50-0010-door-trim-set-one-head-and-two-sides-2-1-2-inches-wide-opening,fileoutpart162.xlsx,21,06 22 13.50,"Moldings, Window and Door",0010,"Door trim set, one head and two sides, 2 1/2 inches wide",Opening,1.803
06-22-13.50-0020-3-1-2-inches-wide-opening,fileoutpart162.xlsx,22,06 22 13.50,"Moldings, Window and Door",0020,3 1/2 inches wide,Opening,2.007
06-22-13.50-0030-threshold-3-feet-long-inside-each,fileoutpart162.xlsx,23,06 22 13.50,"Moldings, Window and Door",0030,"Threshold, 3 feet long, inside",Each,0.332
06-22-13.50-0040-outside-each,fileoutpart162.xlsx,24,06 22 13.50,"Moldings, Window and Door",0040,outside,Each,0.665
06-22-13.50-0060-average-opening,fileoutpart162.xlsx,27,06 22 13.50,"Window trim set, including casings, header, stops, stool and apron (0050) 2 1/2 inches wide, minimum",0060,average,Opening,1.064
06-22-13.50-0070-maximum-opening,fileoutpart162.xlsx,28,06 22 13.50,"Window trim set, including casings, header, stops, stool and apron (0050) 2 1/2 inches wide, minimum",0070,maximum,Opening,1.773
06-22-13.60-0010-soffits-average-from-1-by-4-inches-to-1-by-12-inches-lf,fileoutpart162.xlsx,30,06 22 13.60,"Moldings, Soffits",0010,"Soffits, average from 1 by 4 inches to 1 by 12 inches",LF,0.053
06-43-13-0010-box-stairs-prefabricated-3-feet-wide-treads-up-to-14-risers-riser,fileoutpart162.xlsx,33,06 43 13,Wood Stairs and Railings,0010,"Box stairs, prefabricated, 3 feet wide treads, up to 14 risers",Riser,0.545
06-43-13-0020-4-foot-wide-treads-up-to-14-risers-riser,fileoutpart162.xlsx,34,06 43 13,Wood Stairs and Railings,0020,"4-foot-wide treads, up to 14 risers",Riser,0.6813
06-43-13-0030-basement-stairs-prefabricated-3-feet-wide-treads-up-to-14-risers-riser,fileoutpart162.xlsx,35,06 43 13,Wood Stairs and Railings,0030,"Basement stairs, prefabricated, 3 feet wide, treads up to 14 risers",Riser,0.41
06-43-13-0040-residential-stairs-wood-prefabricated-flight,fileoutpart162.xlsx,36,06 43 13,Wood Stairs and Railings,0040,"Residential stairs, wood, prefabricated",Flight,14.187
06-43-13-0050-built-in-place-flight,fileoutpart162.xlsx,37,06 43 13,Wood Stairs and Railings,0050,built in place,Flight,48.364
06-48-13.10-0010-exterior-frame-including-exterior-trim-lf,fileoutpart164.xlsx,4,06 48 13.10,Exterior Wood Door Frames and Accessories,0010,Exterior frame including exterior trim,LF,0.061
