id,sourceTableFile,sourceRowNumberApprox,sectionCode,sectionTitle,itemCode,workElementDescription,unit,manHoursPerUnit
06-48-13.10-0020-sills-lf,fileoutpart164.xlsx,5,06 48 13.10,Exterior Wood Door Frames and Accessories,0020,Sills,LF,0.213
06-48-13.10-0030-minimum-each,fileoutpart164.xlsx,7,06 48 13.10,"Exterior, modern, plain trim 3-foot opening, in-swing,",0030,minimum,Each,0.818
06-48-13.10-0040-average-each,fileoutpart164.xlsx,8,06 48 13.10,"Exterior, modern, plain trim 3-foot opening, in-swing,",0040,average,Each,0.887
06-48-13.10-0050-maximum-each,fileoutpart164.xlsx,9,06 48 13.10,"Exterior, modern, plain trim 3-foot opening, in-swing,",0050,maximum,Each,0.967
06-48-16.10-0010-interior-frame-lf,fileoutpart164.xlsx,12,06 48 16.10,Interior Wood Door Jamb and Frames,0010,Interior frame,LF,0.061
06-48-16.10-0020-threshold-lf,fileoutpart164.xlsx,13,06 48 16.10,Interior Wood Door Jamb and Frames,0020,Threshold,LF,0.106
07-11-13.10-0010-brushed-on-below-grade-one-coat-sf,fileoutpart168.xlsx,4,07 11 13.10,Bituminous Asphalt Coating,0010,"Brushed on, below grade, one coat",SF,0.016
07-11-13.10-0020-two-coats-sf,fileoutpart168.xlsx,5,07 11 13.10,Bituminous Asphalt Coating,0020,two coats,SF,0.021
07-11-13.10-0030-sprayed-on-below-grade-one-coat-25-6-sf-per-gallon-sf,fileoutpart168.xlsx,6,07 11 13.10,Bituminous Asphalt Coating,0030,"Sprayed on, below grade, one coat, 25.6 SF per gallon",SF,0.013
07-11-13.10-0040-two-coats-20-5-sf-per-gallon-sf,fileoutpart168.xlsx,7,07 11 13.10,Bituminous Asphalt Coating,0040,"two coats, 20.5 SF per gallon",SF,0.021
07-11-13.10-0050-troweled-on-asphalt-1-16-inch-thick-sf,fileoutpart168.xlsx,8,07 11 13.10,Bituminous Asphalt Coating,0050,"Troweled on, asphalt, 1/16 inch thick",SF,0.021
07-11-13.10-0060-1-8-inch-thick-sf,fileoutpart168.xlsx,9,07 11 13.10,Bituminous Asphalt Coating,0060,1/8 inch thick,SF,0.027
07-11-13.10-0070-1-2-inch-thick-sf,fileoutpart168.xlsx,10,07 11 13.10,Bituminous Asphalt Coating,0070,1/2 inch thick,SF,0.03
07-11-16.20-0010-portland-cement-or-waterproofed-portland-cement-two-coats-1-2-inch-thick-sf,fileoutpart168.xlsx,13,07 11 16.20,Cementitious Damp Proofing,0010,"Portland cement or waterproofed Portland cement, two coats, 1/2 inch thick",SF,0.085
07-12-13.20-0010-one-ply-felt-mopped-sf,fileoutpart170.xlsx,5,07 12 13.20,"On slabs,",0010,"one-ply, felt, mopped",SF,0.014
07-12-13.20-0020-one-ply-glass-fiber-fabric-mopped-sf,fileoutpart170.xlsx,6,07 12 13.20,"On slabs,",0020,"one-ply, glass fiber fabric, mopped",SF,0.036
07-12-13.20-0030-two-ply-felt-mopped-sf,fileoutpart170.xlsx,7,07 12 13.20,"On slabs,",0030,"two-ply, felt, mopped",SF,0.029
07-12-13.20-0040-two-ply-glass-fiber-fabric-mopped-sf,fileoutpart170.xlsx,8,07 12 13.20,"On slabs,",0040,"two-ply, glass fiber fabric, mopped",SF,0.045
07-12-13.20-0050-fiberglass-fabric-20-10-mesh-square,fileoutpart170.xlsx,9,07 12 13.20,"On slabs,",0050,"Fiberglass fabric, 20/10 mesh",Square,0.184
07-16-16.20-0010-sprayed-on-1-8-inch-application-sf,fileoutpart170.xlsx,16,07 16 16.20,Cementitious Waterproofing,0010,"Sprayed on, 1/8-inch application",SF,0.032
07-16-16.20-0020-cementitious-metallic-slurry-troweled-two-coats-1-4-inch-thick-sf,fileoutpart170.xlsx,17,07 16 16.20,Cementitious Waterproofing,0020,"Cementitious/metallic slurry, troweled, two coats, 1/4 inch thick",SF,0.043
