id,division,divisionName,sectionCode,sectionTitle,itemCode,workElementDescription,unitOriginal,unit,manHoursPerUnit,sourcePageNumberApprox,sourceTableFile,reviewNotes,replacesReviewRows
22-05-23.60-0190-y-sediment-strainer-pvc-1-1-2-inch-pipe-diameter-ea,22,Plumbing,22 05 23.60,"Valves, Plastic",0190,"Y sediment strainer, PVC, 1 1/2 inch pipe diameter",Each,EA,0.532,164,fileoutpart312.xlsx,,22-05-23.60-foot-valve-pvc-y-sediment-strainer-pvc-each-each
22-11-13.44-0010-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0010,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, to 3/4 inch diameter",LF,LF,0.174,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0020-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0020,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 1 inch diameter",LF,LF,0.201,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0030-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0030,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 1 1/4 inch diameter",LF,LF,0.239,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0040-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0040,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 1 1/2 inch diameter",LF,LF,0.266,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0050-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0050,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 2 inch diameter",LF,LF,0.332,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0060-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0060,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 2 1/2 inch diameter",LF,LF,0.426,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0070-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0070,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 3 inch diameter",LF,LF,0.495,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0080-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0080,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 3 1/2 inch diameter",LF,LF,0.532,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
22-11-13.44-0090-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-covering-10-feet-on-cent-lf,22,Plumbing,22 11 13.44,"Steel Pipe, Threaded",0090,"Schedule 40 with couplings and clevis hanger assemblies sized for covering 10 feet on center, 4 inch diameter",LF,LF,0.59,166,fileoutpart318.xlsx,Extraction read a pipe size value as rate 40.0; PDF table rates are by pipe diameter.,22-11-13.44-steel-pipe-threaded-schedule-40-with-couplings-and-clevis-hanger-assemblies-sized-for-cove-lf
